path , default , custom, defult_w_count, custom_w_count , defult_w_count_percentage , custom_w_count_percentage , default_wer , default_wacc , custom_wer, custom_wacc
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L2_ Introduction to Operating Systems\20 - Modular OS.srt.res ,0.026286143,0.02286979,0,0,0,0,1.86,98.14,10.47,89.53
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L2_ Introduction to Operating Systems\21 - Microkernel.srt.res ,0.004411116,0.016782196,1,49,0.322580645,15.80645161,9.11,90.89,4.48,95.52
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L2_ Introduction to Operating Systems\22 - Linux and Mac OS Architectures.srt.res ,0.012870013,0.066242038,1,21,0.427350427,8.974358974,7.71,92.29,7.52,92.48
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L2_ Introduction to Operating Systems\23 - Lesson Summary.srt.res ,0.023961661,0.211992732,1,2,0.757575758,1.515151515,10.72,89.28,15.08,84.92
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L2_ Introduction to Operating Systems\24 - Lesson Review.srt.res ,0.144927536,0.844444444,0,0,0,0,82.14,17.86,24.4,75.6
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\01 - Lesson Preview.srt.res ,0.038624019,0.407955125,1,3,0.543478261,1.630434783,12.82,87.18,11.87,88.13
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\02 - Visual Metaphor.srt.res ,0.055687606,0.014806378,1,8,0.231481481,1.851851852,6.14,93.86,2.55,97.45
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\03 - Process vs Thread.srt.res ,0.052687039,0.00772499,1,4,0.377358491,1.509433962,4.09,95.91,5.19,94.81
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\04 - Benefits of Multithreading.srt.res ,0.007447974,0.003322259,0,13,0,2.073365231,5.48,94.52,4.02,95.98
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\05 - Benefits of Multithreading Single CPU.srt.res ,0.014848289,0.276069519,1,7,0.24691358,1.728395062,4.28,95.72,2.46,97.54
